,Ranking,World Rank,University,Country,Impact Rank,Openness Rank,Excellence Rank,World Ranking,Continental Ranking,Country Rank,Impact,Openness,Excellence
348,349,6557,Mulungushi University,Zambia,13773,6165,6035,6557,182,3,13773,6165,6035
349,350,6569,University of Liberia,Liberia,14983,8183,5188,6569,183,1,14983,8183,5188
350,351,6588,Ecole Superieure Polytechnique de Dakar,Tunisia,15756,7428,5527,6588,184,3,15756,7428,5527
351,352,6601,Botho University,Botswana,14579,8183,5270,6601,185,4,14579,8183,5270
352,353,6619,University of Kordofan,Sudan,18948,6512,5362,6619,410,10,18948,6512,5362
353,354,6625,École Supérieure des Industries du Textile et de l'Habillement,South Africa,15048,8183,5230,6625,411,30,15048,8183,5230
354,355,6669,École Nationale Supérieure de Technologie,South Africa,20698,5308,5362,6669,413,49,20698,5308,5362
355,356,6697,Ndejje University,Uganda,9356,8183,6035,6697,186,10,9356,8183,6035
356,357,6697,Nasarawa State University,Egypt,10637,3131,6862,6697,187,54,10637,3131,6862
357,358,6766,(3) University of Malawi College of Medicine Liverpool Wellcome Trust,Sudan,6120,4614,7237,6766,188,3,6120,4614,7237
358,359,6770,Babcock University,Nigeria,8328,1973,7237,6770,189,55,8328,1973,7237
359,360,6770,Federal University Lafia Nasarawa State,Uganda,6723,3866,7237,6770,190,56,6723,3866,7237
360,361,6774,Université d'Oran 2 Mohamed Ben Ahmed,South Africa,12819,8183,5641,6774,417,50,12819,8183,5641
361,362,6781,Lagos State Polytechnic,Nigeria,4201,6841,7237,6781,191,57,4201,6841,7237
362,363,6781,Mountains of the Moon University,Uganda,15045,7551,5709,6781,192,11,15045,7551,5709
363,364,6803,University of Medical Sciences & Technology,Tunisia,19313,6112,5527,6803,419,11,19313,6112,5527
364,365,6803,Tobruk University,Ethiopia,5266,5803,7237,6803,420,9,5266,5803,7237
365,366,6863,South Eastern Kenya University,Kenya,7337,3403,7237,6863,193,17,7337,3403,7237
366,367,6872,Universidade Lúrio,Mozambique,16980,7485,5527,6872,194,3,16980,7485,5527
367,368,6883,Sirte University (Al Tahadi University),Tunisia,17256,4585,6035,6883,424,10,17256,4585,6035
368,369,6902,Red Sea University,Sudan,17910,8183,4991,6902,426,12,17910,8183,4991
369,370,6908,Ecole Nationale Supérieure de Biotechnologie de Constantine,Uganda,22662,6463,4991,6908,427,51,22662,6463,4991
370,371,6942,Alasmarya Islamic University,Ghana,16934,4337,6156,6942,429,11,16934,4337,6156
371,372,6981,École Normale Supérieure de Kouba,Ghana,18674,6108,5709,6981,430,52,18674,6108,5709
372,373,7058,Université Française d'Egypte,South Africa,13987,8183,5641,7058,432,53,13987,8183,5641
373,374,7120,Meru University of Science & Technology,Ethiopia,7406,4383,7237,7120,195,18,7406,4383,7237
374,375,7122,Federal University Ndufu Alike Ikwo FUNAI,Uganda,9272,2342,7237,7122,196,58,9272,2342,7237
375,376,7126,Future University of Sudan,Sudan,11116,8183,6035,7126,434,13,11116,8183,6035
376,377,7126,International Open University,Ethiopia,2635,8183,7237,7126,435,2,2635,8183,7237
377,378,7139,Umaru Musa Yar'Adua University (Katsina State University),Egypt,7888,3925,7237,7139,197,59,7888,3925,7237
378,379,7162,Universidade Pedagógica,Mozambique,13342,8183,5778,7162,198,4,13342,8183,5778
379,380,7170,Université Catholique d'Afrique Centrale,Kenya,15698,8183,5457,7170,199,8,15698,8183,5457
380,381,7182,Dedan Kimathi University of Technology (Kimathi University College of Technology),Nigeria,8025,3916,7237,7182,200,19,8025,3916,7237
381,382,7186,Université Alioune Diop de Bambey,Senegal,14931,5975,6291,7186,201,4,14931,5975,6291
382,383,7191,École Supérieure de Commerce et des Affaires ESCA,South Africa,13464,8183,5778,7191,439,31,13464,8183,5778
383,384,7199,Federal University Kashere Gombe State,South Africa,7828,4213,7237,7199,202,60,7828,4213,7237
384,385,7215,Enugu State University of Science & Technology,Sudan,9537,2405,7237,7215,203,61,9537,2405,7237
385,386,7267,(3) Makerere University Business School,Kenya,7743,4484,7237,7267,204,12,7743,4484,7237
386,387,7274,Bowen University,Nigeria,9295,2794,7237,7274,205,62,9295,2794,7237
387,388,7274,Université de Yaoundé II,Cameroon,17140,8183,5315,7274,206,9,17140,8183,5315
388,389,7361,Thomas Adewumi University Oko-Irese,Zimbabwe,3016,8183,7237,7361,207,63,3016,8183,7237
389,390,7383,Karary University,Egypt,19244,6914,5641,7383,448,14,19244,6914,5641
390,391,7392,Centre Universitaire de Mila,Sudan,15078,8183,5641,7392,449,53,15078,8183,5641
391,392,7411,Sadat Academy for Management Sciences,Egypt,16430,8183,5457,7411,450,54,16430,8183,5457
392,393,7472,Université de Thiès,Senegal,16372,8101,5583,7472,208,5,16372,8101,5583
393,394,7498,Universidade Agostinho Neto,Kenya,13685,8183,5861,7498,209,1,13685,8183,5861
394,395,7498,Mashreq University,Egypt,3233,8183,7237,7498,452,15,3233,8183,7237
395,396,7498,(3) Université de Carthage Institut des Hautes Etudes Commerciales de Carthage,Nigeria,18962,8183,5152,7498,453,22,18962,8183,5152
396,397,7523,Lagos Business School Pan Atlantic University,Zimbabwe,7424,5488,7237,7523,210,64,7424,5488,7237
397,398,7529,Federal University Dutsin Ma,Tunisia,9900,2888,7237,7529,211,65,9900,2888,7237
398,399,7537,(3) Université de Carthage Faculté des Sciences Économiques et de Gestion de Nabeul,Tunisia,21973,8183,4617,7537,456,23,21973,8183,4617
399,400,7574,University of Health and Allied Sciences,Uganda,10589,2367,7237,7574,212,11,10589,2367,7237
400,401,7604,Akhbar El Yom Academy,Egypt,21856,8183,4694,7604,457,55,21856,8183,4694
401,402,7621,Université de Tissemsilt Ahmed ben yahia el-wancharissi,Kenya,23384,8183,4372,7621,458,54,23384,8183,4372
402,403,7635,Universite Assane Seck Ziguinchor,Zimbabwe,18530,8183,5270,7635,213,6,18530,8183,5270
403,404,7635,Nelson Mandela African Institute of Science & Technology,Tunisia,10119,2943,7237,7635,214,11,10119,2943,7237
404,405,7640,Université Gamal Abdel Nasser de Conakry,Guinea,20523,8183,4954,7640,215,1,20523,8183,4954
405,406,7656,Ahfad University for Women,Sudan,16329,8183,5583,7656,460,16,16329,8183,5583
406,407,7656,Nigerian Defence Academy Kaduna,Ethiopia,9794,3405,7237,7656,216,66,9794,3405,7237
407,408,7656,University of Mpumalanga,Zimbabwe,9104,4133,7237,7656,217,24,9104,4133,7237
408,409,7669,University of Seychelles,Seychelles,14230,8183,5861,7669,218,1,14230,8183,5861
409,410,7699,University of Nyala,Egypt,18726,8183,5270,7699,461,17,18726,8183,5270
410,411,7721,Edo University Iyamho,Ghana,9996,3342,7237,7721,219,67,9996,3342,7237
411,412,7727,École Polytechnique d'Architecture et d'Urbanisme,Zimbabwe,18146,6249,6035,7727,462,55,18146,6249,6035
412,413,7756,University of Medical Sciences Ondo,Tunisia,10487,2891,7237,7756,220,68,10487,2891,7237
413,414,7793,Nile University of Nigeria (Nigerian Turkish Nile University Abuja),South Africa,10242,3239,7237,7793,221,69,10242,3239,7237
414,415,7809,Mangosuthu University of Technology (Technikon),South Africa,8890,4677,7237,7809,222,25,8890,4677,7237
415,416,7840,Pwani University,Kenya,9518,4103,7237,7840,223,20,9518,4103,7237
416,417,7863,Pan African University Lagos,Ethiopia,8810,4868,7237,7863,224,70,8810,4868,7237
417,418,7863,IIE MSA (Monash University South Africa),Tunisia,12307,8183,6156,7863,225,26,12307,8183,6156
418,419,7889,Sol Plaatje University,South Africa,8990,4734,7237,7889,226,27,8990,4734,7237
419,420,7889,Benue State University,Nigeria,10310,3386,7237,7889,227,71,10310,3386,7237
420,421,7897,University of Technology Mauritius,Sudan,13608,7692,6291,7897,228,2,13608,7692,6291
421,422,7897,Veritas University,Nigeria,9274,4466,7237,7897,229,72,9274,4466,7237
422,423,7967,Lilongwe University of Agriculture & Natural Resources LUANAR,Ethiopia,8273,5601,7237,7967,230,4,8273,5601,7237
423,424,8013,Kabarak University,Kenya,9282,4712,7237,8013,231,21,9282,4712,7237
424,425,8013,Chukwuemeka Odumegwu Ojukwu University (Anambra State University of Science & Technology Uli),Ghana,11028,2922,7237,8013,232,73,11028,2922,7237
425,426,8044,Igbinedion University Okada,Uganda,10380,3681,7237,8044,233,74,10380,3681,7237
426,427,8066,Regional Maritime University,Zimbabwe,13659,8183,6035,8066,234,12,13659,8183,6035
